struct,num,elapsed
5,500,3
5,1000,9
5,1500,31
5,2000,73
5,2500,130
5,3000,197
5,3500,260
5,4000,357
5,4500,481
5,5000,562
5,500,2
5,1000,12
5,1500,35
5,2000,73
5,2500,119
5,3000,186
5,3500,256
5,4000,346
5,4500,450
5,5000,564
5,500,3
5,1000,13
5,1500,37
5,2000,73
5,2500,120
5,3000,182
5,3500,258
5,4000,354
5,4500,444
5,5000,563
5,500,2
5,1000,12
5,1500,34
5,2000,73
5,2500,130
5,3000,180
5,3500,259
5,4000,344
5,4500,445
5,5000,564
5,500,2
5,1000,12
5,1500,35
5,2000,71
5,2500,122
5,3000,179
5,3500,262
5,4000,349
5,4500,480
5,5000,564
5,500,4
5,1000,12
5,1500,35
5,2000,70
5,2500,120
5,3000,183
5,3500,256
5,4000,344
5,4500,448
5,5000,564
5,500,3
5,1000,13
5,1500,35
5,2000,73
5,2500,121
5,3000,182
5,3500,259
5,4000,344
5,4500,451
5,5000,611
5,500,3
5,1000,12
5,1500,36
5,2000,74
5,2500,122
5,3000,180
5,3500,258
5,4000,351
5,4500,446
5,5000,561
5,500,3
5,1000,12
5,1500,34
5,2000,71
5,2500,118
5,3000,179
5,3500,255
5,4000,347
5,4500,445
5,5000,561
5,500,2
5,1000,12
5,1500,35
5,2000,71
5,2500,119
5,3000,183
5,3500,273
5,4000,344
5,4500,446
5,5000,560
5,500,2
5,1000,13
5,1500,34
5,2000,70
5,2500,119
5,3000,185
5,3500,258
5,4000,343
5,4500,448
5,5000,561
5,500,2
5,1000,14
5,1500,35
5,2000,69
5,2500,119
5,3000,183
5,3500,256
5,4000,348
5,4500,449
5,5000,562
5,500,3
5,1000,12
5,1500,36
5,2000,72
5,2500,120
5,3000,182
5,3500,266
5,4000,350
5,4500,450
5,5000,568
5,500,2
5,1000,12
5,1500,35
5,2000,76
5,2500,123
5,3000,181
5,3500,258
5,4000,348
5,4500,444
5,5000,573
5,500,3
5,1000,13
5,1500,37
5,2000,71
5,2500,121
5,3000,181
5,3500,262
5,4000,347
5,4500,453
5,5000,566
5,500,3
5,1000,13
5,1500,35
5,2000,70
5,2500,125
5,3000,201
5,3500,258
5,4000,352
5,4500,452
5,5000,569
5,500,4
5,1000,15
5,1500,35
5,2000,72
5,2500,122
5,3000,184
5,3500,257
5,4000,348
5,4500,450
5,5000,563
5,500,3
5,1000,12
5,1500,34
5,2000,74
5,2500,118
5,3000,181
5,3500,260
5,4000,348
5,4500,449
5,5000,560
5,500,2
5,1000,12
5,1500,53
4,500,3
4,1000,10
4,1500,32
4,2000,70
4,2500,137
4,3000,196
4,3500,287
4,4000,409
4,4500,464
4,5000,570
4,500,2
4,1000,13
4,1500,36
4,2000,75
4,2500,136
4,3000,188
4,3500,261
4,4000,352
4,4500,461
4,5000,576
4,500,2
4,1000,13
4,1500,39
4,2000,77
4,2500,126
4,3000,204
4,3500,267
4,4000,365
4,4500,457
4,5000,593
4,500,2
4,1000,13
4,1500,37
4,2000,75
4,2500,123
4,3000,185
4,3500,266
4,4000,353
4,4500,455
4,5000,568
4,500,3
4,1000,13
4,1500,37
4,2000,73
4,2500,121
4,3000,188
4,3500,264
4,4000,372
4,4500,475
4,5000,593
4,500,2
4,1000,17
4,1500,52
4,2000,104
4,2500,122
4,3000,197
4,3500,274
4,4000,387
4,4500,505
4,5000,606
4,500,4
4,1000,13
4,1500,39
4,2000,93
4,2500,134
4,3000,193
4,3500,264
4,4000,392
4,4500,554
4,5000,598
4,500,2
4,1000,14
4,1500,41
4,2000,75
4,2500,125
4,3000,190
4,3500,266
4,4000,352
4,4500,483
4,5000,586
4,500,3
4,1000,13
4,1500,45
4,2000,72
4,2500,122
4,3000,204
4,3500,272
4,4000,445
4,4500,463
4,5000,587
4,500,2
4,1000,13
4,1500,41
4,2000,80
4,2500,129
4,3000,184
4,3500,261
4,4000,369
4,4500,494
4,5000,629
4,500,2
4,1000,14
4,1500,39
4,2000,72
4,2500,122
4,3000,203
4,3500,292
4,4000,377
4,4500,463
4,5000,730
4,500,3
4,1000,13
4,1500,38
4,2000,73
4,2500,127
4,3000,196
4,3500,263
4,4000,351
4,4500,473
4,5000,594
4,500,2
4,1000,15
4,1500,41
4,2000,80
4,2500,127
4,3000,189
4,3500,277
4,4000,351
4,4500,455
4,5000,587
4,500,2
4,1000,13
4,1500,36
4,2000,74
4,2500,138
4,3000,186
4,3500,265
4,4000,362
4,4500,475
4,5000,589
4,500,2
4,1000,13
4,1500,36
4,2000,75
4,2500,134
4,3000,192
4,3500,261
4,4000,383
4,4500,467
4,5000,603
4,500,2
4,1000,15
4,1500,54
4,2000,77
4,2500,131
4,3000,232
4,3500,281
4,4000,389
4,4500,496
4,5000,651
4,500,2
4,1000,14
4,1500,47
4,2000,95
4,2500,143
4,3000,218
4,3500,291
4,4000,373
4,4500,501
4,5000,765
4,500,2
4,1000,15
4,1500,39
4,2000,82
4,2500,152
4,3000,243
4,3500,286
4,4000,395
4,4500,485
4,5000,607
4,500,4
4,1000,14
4,1500,38
4,2000,79
4,2500,128
4,3000,190
4,3500,268
4,4000,354
4,4500,472
4,5000,573
4,500,2
4,1000,13
4,1500,37
4,2000,73
4,2500,123
4,3000,189
4,3500,282
4,4000,427
4,4500,461
4,5000,626
4,500,2
4,1000,13
4,1500,37
4,2000,90
4,2500,148
4,3000,207
4,3500,307
4,4000,374
4,4500,474
4,5000,596
4,500,2
4,1000,13
4,1500,39
4,2000,78
4,2500,129
4,3000,197
4,3500,271
4,4000,359
4,4500,516
4,5000,634
4,500,2
4,1000,13
4,1500,40
4,2000,79
4,2500,134
4,3000,186
4,3500,302
4,4000,366
4,4500,464
4,5000,642
4,500,3
4,1000,14
4,1500,40
4,2000,76
4,2500,123
4,3000,195
4,3500,272
4,4000,368
4,4500,471
4,5000,588
4,500,2
4,1000,14
4,1500,39
4,2000,77
4,2500,131
4,3000,193
4,3500,272
4,4000,367
4,4500,476
4,5000,614
4,500,2
4,1000,18
4,1500,38
4,2000,74
4,2500,126
4,3000,187
4,3500,263
4,4000,375
4,4500,474
4,5000,605
4,500,2
4,1000,13
4,1500,39
4,2000,77
4,2500,129
4,3000,195
4,3500,271
4,4000,351
4,4500,457
4,5000,578
4,500,2
4,1000,13
4,1500,37
4,2000,74
4,2500,126
4,3000,200
4,3500,276
4,4000,366
4,4500,617
4,5000,576
4,500,2
4,1000,13
4,1500,40
4,2000,91
4,2500,137
4,3000,187
4,3500,281
4,4000,364
4,4500,456
4,5000,598
4,500,2
4,1000,15
4,1500,37
4,2000,77
4,2500,124
4,3000,188
4,3500,262
4,4000,359
4,4500,474
4,5000,683
4,500,2
4,1000,17
4,1500,38
4,2000,81
4,2500,128
4,3000,195
4,3500,270
4,4000,367
4,4500,460
4,5000,587
4,500,2
4,1000,13
4,1500,39
4,2000,73
4,2500,123
4,3000,186
4,3500,272
4,4000,357
4,4500,474
4,5000,608
4,500,2
4,1000,13
4,1500,40
4,2000,76
4,2500,129
4,3000,192
4,3500,302
4,4000,404
4,4500,482
4,5000,592
4,500,2
4,1000,13
4,1500,39
4,2000,86
4,2500,144
4,3000,193
4,3500,272
4,4000,356
4,4500,457
4,5000,627
4,500,4
4,1000,13
4,1500,38
4,2000,75
4,2500,132
4,3000,199
4,3500,295
4,4000,393
3,500,3
3,1000,10
3,1500,34
3,2000,73
3,2500,132
3,3000,211
3,3500,291
3,4000,367
3,4500,467
3,5000,585
3,500,2
3,1000,13
3,1500,37
3,2000,74
3,2500,125
3,3000,187
3,3500,268
3,4000,357
3,4500,465
3,5000,582
3,500,2
3,1000,13
3,1500,37
3,2000,77
3,2500,123
3,3000,186
3,3500,266
3,4000,359
3,4500,469
3,5000,577
3,500,2
3,1000,13
3,1500,37
3,2000,76
3,2500,126
3,3000,191
3,3500,265
3,4000,352
3,4500,454
3,5000,571
3,500,2
3,1000,13
3,1500,37
3,2000,73
3,2500,124
3,3000,186
3,3500,260
3,4000,357
3,4500,456
3,5000,571
3,500,2
3,1000,13
3,1500,36
3,2000,73
3,2500,124
3,3000,189
3,3500,262
3,4000,358
3,4500,455
3,5000,570
3,500,2
3,1000,13
3,1500,38
3,2000,75
3,2500,128
3,3000,184
3,3500,268
3,4000,357
3,4500,455
3,5000,593
3,500,2
3,1000,14
3,1500,36
3,2000,76
3,2500,128
3,3000,189
3,3500,262
3,4000,385
3,4500,498
3,5000,586
3,500,2
3,1000,22
3,1500,37
3,2000,78
3,2500,158
3,3000,191
3,3500,309
3,4000,369
3,4500,459
3,5000,596
3,500,2
3,1000,13
3,1500,37
3,2000,75
3,2500,128
3,3000,190
3,3500,264
3,4000,361
3,4500,496
3,5000,660
3,500,3
3,1000,14
3,1500,37
3,2000,90
3,2500,128
3,3000,202
3,3500,271
3,4000,357
3,4500,517
3,5000,586
3,500,2
3,1000,13
3,1500,36
3,2000,76
3,2500,130
3,3000,195
3,3500,282
3,4000,411
3,4500,488
3,5000,605
3,500,2
3,1000,13
3,1500,37
3,2000,73
3,2500,127
3,3000,192
3,3500,283
3,4000,395
3,4500,529
3,5000,646
3,500,2
3,1000,14
3,1500,39
3,2000,78
3,2500,136
3,3000,193
3,3500,269
3,4000,414
3,4500,501
3,5000,595
3,500,3
3,1000,15
3,1500,39
3,2000,79
3,2500,132
3,3000,199
3,3500,278
3,4000,371
3,4500,458
3,5000,578
3,500,2
3,1000,13
3,1500,36
3,2000,79
3,2500,166
3,3000,223
3,3500,288
3,4000,408
3,4500,471
3,5000,582
3,500,2
3,1000,13
3,1500,39
3,2000,73
3,2500,128
3,3000,192
3,3500,286
3,4000,353
3,4500,457
3,5000,596
3,500,2
3,1000,13
3,1500,37
3,2000,74
3,2500,128
3,3000,194
3,3500,263
3,4000,355
3,4500,455
3,5000,590
3,500,3
3,1000,14
3,1500,37
3,2000,73
3,2500,126
3,3000,193
3,3500,263
3,4000,363
3,4500,465
3,5000,586
3,500,2
3,1000,13
3,1500,38
3,2000,73
3,2500,123
3,3000,221
3,3500,317
3,4000,366
3,4500,486
3,5000,622
3,500,2
3,1000,13
3,1500,37
3,2000,75
3,2500,128
3,3000,190
3,3500,266
3,4000,355
3,4500,462
3,5000,605
3,500,2
3,1000,14
3,1500,38
3,2000,75
3,2500,128
3,3000,207
3,3500,284
3,4000,381
3,4500,482
3,5000,639
3,500,2
3,1000,18
3,1500,46
3,2000,73
3,2500,129
3,3000,190
3,3500,272
3,4000,375
3,4500,492
3,5000,571
3,500,2
3,1000,13
3,1500,36
3,2000,73
3,2500,129
3,3000,185
3,3500,279
3,4000,376
3,4500,476
3,5000,576
3,500,2
3,1000,15
3,1500,39
3,2000,78
3,2500,124
3,3000,194
3,3500,265
3,4000,351
3,4500,458
3,5000,582
3,500,3
3,1000,13
3,1500,37
3,2000,76
3,2500,129
3,3000,196
3,3500,262
3,4000,361
3,4500,507
3,5000,591
3,500,2
3,1000,14
3,1500,43
3,2000,76
3,2500,122
3,3000,204
3,3500,293
3,4000,355
3,4500,464
3,5000,617
3,500,2
3,1000,13
3,1500,36
3,2000,74
3,2500,130
3,3000,193
3,3500,269
3,4000,361
3,4500,467
3,5000,635
3,500,2
3,1000,14
3,1500,38
3,2000,76
3,2500,142
3,3000,193
3,3500,310
3,4000,384
3,4500,505
3,5000,650
3,500,2
3,1000,13
3,1500,37
3,2000,74
3,2500,133
3,3000,212
3,3500,262
3,4000,372
3,4500,469
3,5000,582
3,500,2
3,1000,13
3,1500,38
3,2000,73
3,2500,127
3,3000,192
3,3500,273
3,4000,369
3,4500,501
3,5000,644
3,500,2
3,1000,13
3,1500,41
3,2000,75
3,2500,133
3,3000,202
3,3500,294
3,4000,354
3,4500,453
3,5000,572
3,500,3
3,1000,13
3,1500,37
3,2000,77
3,2500,132
3,3000,190
3,3500,268
3,4000,439
3,4500,519
3,5000,587
3,500,2
3,1000,13
3,1500,38
3,2000,75
3,2500,123
3,3000,204
3,3500,277
3,4000,399
3,4500,472
3,5000,582
3,500,2
3,1000,13
3,1500,38
3,2000,75
3,2500,132
3,3000,191
3,3500,275
3,4000,401
3,4500,486
3,5000,655
3,500,2
3,1000,14
3,1500,38
3,2000,77
3,2500,124
3,3000,198
3,3500,293
3,4000,406
3,4500,549
3,5000,592
3,500,2
3,1000,15
3,1500,43
3,2000,85
3,2500,124
3,3000,191
3,3500,266
3,4000,360
3,4500,494
3,5000,623
3,500,3
3,1000,13
3,1500,51
3,2000,77
3,2500,130
3,3000,197
3,3500,288
3,4000,384
3,4500,481
3,5000,598
3,500,2
3,1000,14
3,1500,37
3,2000,84
3,2500,157
3,3000,193
3,3500,280
3,4000,368
3,4500,550
3,5000,587
3,500,2
3,1000,14
3,1500,37
3,2000,75
3,2500,124
3,3000,185
3,3500,270
3,4000,354
3,4500,492
3,5000,577
3,500,2
3,1000,14
3,1500,40
3,2000,77
3,2500,123
3,3000,189
3,3500,265
3,4000,470
3,4500,557
3,5000,597
3,500,2
3,1000,13
3,1500,38
3,2000,75
3,2500,126
3,3000,193
3,3500,323
3,4000,361
3,4500,488
3,5000,570
3,500,2
3,1000,14
3,1500,38
3,2000,75
3,2500,122
3,3000,196
3,3500,286
3,4000,356
3,4500,460
3,5000,582
3,500,2
3,1000,14
3,1500,38
3,2000,83
3,2500,126
3,3000,188
3,3500,274
3,4000,370
3,4500,453
3,5000,571
3,500,2
3,1000,13
3,1500,37
3,2000,99
3,2500,128
3,3000,193
3,3500,281
3,4000,396
3,4500,468
3,5000,584
3,500,3
3,1000,13
3,1500,37
3,2000,74
3,2500,122
3,3000,190
3,3500,266
3,4000,369
3,4500,502
3,5000,620
3,500,2
3,1000,13
3,1500,38
3,2000,76
3,2500,134
3,3000,204
3,3500,284
3,4000,366
3,4500,467
3,5000,649
3,500,2
3,1000,15
3,1500,38
3,2000,79
3,2500,137
3,3000,197
3,3500,275
3,4000,415
3,4500,630
3,5000,590
3,500,2
3,1000,13
3,1500,37
3,2000,76
3,2500,131
3,3000,190
3,3500,265
3,4000,353
3,4500,543
3,5000,591
3,500,2
3,1000,13
3,1500,39
3,2000,77
3,2500,123
3,3000,198
3,3500,281
3,4000,368
3,4500,491
3,5000,642
3,500,2
3,1000,13
3,1500,37
3,2000,77
3,2500,128
3,3000,188
3,3500,273
3,4000,431
3,4500,466
3,5000,614
3,500,4
3,1000,13
3,1500,45
3,2000,75
3,2500,162
3,3000,199
3,3500,283
3,4000,376
3,4500,481
3,5000,630
3,500,2
3,1000,13
3,1500,38
3,2000,76
3,2500,128
3,3000,202
3,3500,272
3,4000,351
3,4500,468
3,5000,591
3,500,2
3,1000,13
3,1500,36
3,2000,81
3,2500,123
3,3000,187
3,3500,260
3,4000,352
3,4500,457
3,5000,578
3,500,2
3,1000,14
3,1500,37
3,2000,74
3,2500,172
3,3000,188
3,3500,271
3,4000,366
3,4500,465
3,5000,579
3,500,3
3,1000,15
3,1500,40
3,2000,79
3,2500,128
3,3000,192
3,3500,272
3,4000,355
3,4500,458
3,5000,606
3,500,4
3,1000,16
3,1500,37
3,2000,80
3,2500,125
3,3000,186
3,3500,310
3,4000,372
3,4500,517
3,5000,772
3,500,2
3,1000,14
3,1500,37
3,2000,73
3,2500,122
3,3000,186
3,3500,265
3,4000,390
3,4500,456
3,5000,609
3,500,2
3,1000,14
3,1500,38
3,2000,73
3,2500,143
3,3000,226
3,3500,272
3,4000,362
3,4500,472
3,5000,588
3,500,2
3,1000,14
3,1500,39
3,2000,76
3,2500,125
3,3000,192
3,3500,291
3,4000,361
3,4500,461
3,5000,573
3,500,2
3,1000,13
3,1500,36
3,2000,76
3,2500,123
3,3000,190
3,3500,274
3,4000,369
3,4500,486
3,5000,600
3,500,2
3,1000,14
3,1500,38
3,2000,78
3,2500,134
3,3000,189
3,3500,269
3,4000,370
3,4500,485
3,5000,625
3,500,2
3,1000,13
3,1500,39
3,2000,77
3,2500,131
3,3000,187
3,3500,277
3,4000,389
3,4500,477
3,5000,627
3,500,2
3,1000,13
3,1500,38
3,2000,76
3,2500,151
3,3000,199
3,3500,277
3,4000,403
3,4500,467
3,5000,613
3,500,3
3,1000,13
3,1500,39
3,2000,78
3,2500,151
3,3000,205
3,3500,287
3,4000,366
3,4500,498
3,5000,591
3,500,2
3,1000,13
3,1500,37
3,2000,72
3,2500,133
3,3000,205
3,3500,308
3,4000,385
3,4500,493
3,5000,606
3,500,2
3,1000,13
3,1500,44
3,2000,80
3,2500,124
3,3000,189
3,3500,278
3,4000,573
3,4500,650
3,5000,668
3,500,4
3,1000,13
3,1500,39
3,2000,78
3,2500,127
3,3000,198
3,3500,289
3,4000,375
3,4500,468
3,5000,589
3,500,4
3,1000,21
3,1500,38
3,2000,77
3,2500,125
3,3000,196
3,3500,270
3,4000,380
3,4500,494
3,5000,594
3,500,2
3,1000,13
3,1500,38
3,2000,76
3,2500,122
3,3000,184
3,3500,261
3,4000,366
3,4500,477
3,5000,591
3,500,2
3,1000,14
3,1500,37
3,2000,74
3,2500,127
3,3000,210
3,3500,267
3,4000,379
3,4500,475
3,5000,583
3,500,2
3,1000,13
3,1500,45
3,2000,74
3,2500,133
3,3000,192
3,3500,280
3,4000,371
3,4500,548
3,5000,608
3,500,2
3,1000,13
3,1500,38
3,2000,81
3,2500,126
3,3000,216
3,3500,367
3,4000,362
3,4500,455
3,5000,585
3,500,2
3,1000,13
3,1500,36
3,2000,76
3,2500,125
3,3000,189
3,3500,263
3,4000,349
3,4500,471
3,5000,630
3,500,3
3,1000,15
3,1500,37
3,2000,77
3,2500,128
3,3000,187
3,3500,271
3,4000,363
3,4500,475
3,5000,572
3,500,2
3,1000,14
3,1500,38
3,2000,75
3,2500,128
3,3000,189
3,3500,280
3,4000,355
3,4500,457
3,5000,582
3,500,3
3,1000,13
3,1500,39
3,2000,76
3,2500,129
3,3000,202
3,3500,291
3,4000,368
3,4500,480
3,5000,570
3,500,2
3,1000,13
3,1500,39
3,2000,76
3,2500,126
3,3000,193
3,3500,299
3,4000,393
3,4500,471
3,5000,580
3,500,2
3,1000,15
3,1500,37
3,2000,75
3,2500,123
3,3000,186
3,3500,273
3,4000,366
3,4500,494
3,5000,581
3,500,2
3,1000,13
3,1500,40
3,2000,76
3,2500,124
